hangul,roman,notes
가,ka,basic
김,k'im,surname
이,i,surname
박,pak,surname
최,ch'oe,surname
정,chŏng,surname
강,kang,surname
조,cho,surname
윤,yun,surname
장,chang,surname
임,im,surname
한,han,surname
오,o,surname
서,sŏ,surname
신,sin,surname
권,kwŏn,surname
황,hwang,surname
안,an,surname
송,song,surname
홍,hong,surname
현,hyŏn,given
영,yŏng,given
수,su,given
민,min,given
지,chi,given
호,ho,given
진,chin,given
성,sŏng,given
준,chun,given
원,wŏn,given
용,yong,given
일,il,given
철,ch'ŏl,given
기,ki,given
태,t'ae,given
범,pŏm,given
규,kyu,given
