hangul,roman,notes
가,ga,basic
김,gim,surname
이,i,surname
박,bag,surname
최,choe,surname
정,jeong,surname
강,gang,surname
조,jo,surname
윤,yun,surname
장,jang,surname
임,im,surname
한,han,surname
오,o,surname
서,seo,surname
신,sin,surname
권,gweon,surname
황,hwang,surname
안,an,surname
송,song,surname
홍,hong,surname
현,hyeon,given
영,yeong,given
수,su,given
민,min,given
지,ji,given
호,ho,given
진,jin,given
성,seong,given
준,jun,given
원,weon,given
용,yong,given
일,il,given
철,cheol,given
기,gi,given
태,tae,given
범,beom,given
규,gyu,given
