hangul,roman,notes
가,ga,basic
김,gim,surname
김,kim,surname_variant
이,i,surname
이,lee,surname_variant
이,yi,surname_variant
박,bak,surname
박,park,surname_variant
최,choi,surname
정,jeong,surname
정,jung,surname_variant
강,gang,surname
강,kang,surname_variant
조,jo,surname
윤,yun,surname
윤,yoon,surname_variant
장,jang,surname
장,chang,surname_variant
임,im,surname
임,lim,surname_variant
한,han,surname
오,o,surname
서,seo,surname
신,sin,surname
권,gwon,surname
황,hwang,surname
안,an,surname
송,song,surname
홍,hong,surname
전,jeon,surname
고,go,surname
문,mun,surname
손,son,surname
양,yang,surname
배,bae,surname
조,cho,surname_variant
주,ju,surname
백,baek,surname
허,heo,surname
유,yu,surname
노,no,surname
하,ha,surname
김,gim,surname
현,hyeon,given
현,hyun,given_variant
영,yeong,given
영,young,given_variant
수,su,given
수,soo,given_variant
민,min,given
지,ji,given
호,ho,given
진,jin,given
성,seong,given
성,sung,given_variant
준,jun,given
준,joon,given_variant
원,won,given
용,yong,given
일,il,given
철,cheol,given
철,chul,given_variant
기,gi,given
기,ki,given_variant
태,tae,given
범,beom,given
범,bum,given_variant
규,gyu,given
규,kyu,given_variant
