hangul,roman,notes
가,ka,basic
김,kim,surname
이,i,surname
박,pak,surname
최,choy,surname
정,ceng,surname
강,kang,surname
조,co,surname
윤,yun,surname
장,cang,surname
임,im,surname
한,han,surname
오,o,surname
서,se,surname
신,sin,surname
권,kwen,surname
황,hwang,surname
안,an,surname
송,song,surname
홍,hong,surname
현,hyen,given
영,yeng,given
수,swu,given
민,min,given
지,ci,given
호,ho,given
진,cin,given
성,seng,given
준,cwun,given
원,wen,given
용,yong,given
일,il,given
철,chel,given
기,ki,given
태,thay,given
범,pem,given
규,kyu,given
