# cProfile dump — n=1000 mode=real
# Generated by tools/run_benchmark.py --profile

         59754048 function calls (57485754 primitive calls) in 12.858 seconds

   Ordered by: cumulative time
   List reduced from 4887 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.952   10.952 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:1002(_stage_5_collision_analytics)
        1    0.001    0.001   10.952   10.952 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/analytics/duckdb_analytics.py:187(detect_collisions)
3005/3000    0.011    0.000   10.371    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/base_events.py:1910(_run_once)
20005/20000    0.005    0.000   10.314    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/events.py:86(_run)
20005/20000    0.008    0.000   10.310    0.001 {method 'run' of '_contextvars.Context' objects}
     2000    0.008    0.000    7.569    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:3918(_run_name_origin_cascade)
     1000    0.000    0.000    6.375    0.006 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/tools/run_benchmark.py:81(run_pipeline)
     3070    1.492    0.000    6.309    0.002 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:2473(_score_priority_rules)
     1000    0.000    0.000    4.911    0.005 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:608(process_batch)
     1000    0.000    0.000    4.911    0.005 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:647(_process_batch_internal)
        1    0.000    0.000    4.439    4.439 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:843(_stage_2_detect_region)
        1    0.001    0.001    4.439    4.439 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:875(_detect_regions_optimized)
     1000    0.001    0.000    4.437    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/hybrid_region_manager.py:77(detect_region)
     1000    0.002    0.000    4.178    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/hybrid_classifier.py:231(detect_region_topk)
     1000    0.004    0.000    4.174    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:3802(detect_region)
     1000    0.001    0.000    3.883    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4155(_detect_region_uncached_sync)
     1000    0.001    0.000    3.877    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4043(_infer_name_origin)
     1000    0.001    0.000    3.703    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4195(_detect_region_uncached_async)
     1000    0.001    0.000    3.698    0.004 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4171(_infer_name_origin_async)
     1736    0.013    0.000    3.668    0.002 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4382(_detect_by_script)
     1334    0.008    0.000    2.715    0.002 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4472(_detect_by_icu)
2994246/758704    0.826    0.000    2.615    0.000 {built-in method builtins.any}
18937/18045    0.029    0.000    2.595    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
18928/18039    0.015    0.000    2.422    0.000 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2337882    0.407    0.000    1.917    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:2653(<genexpr>)
19914/18061    0.004    0.000    1.499    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   866/52    0.001    0.000    1.495    0.029 <frozen importlib._bootstrap>:911(_load_unlocked)
   814/46    0.001    0.000    1.494    0.032 <frozen importlib._bootstrap_external>:989(exec_module)
   969/52    0.010    0.000    1.482    0.028 {built-in method builtins.exec}
        2    0.581    0.290    1.161    0.581 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/analytics/duckdb_analytics.py:73(suffix_duplicates)
        1    0.000    0.000    1.083    1.083 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:1(<module>)
     2000    0.581    0.000    1.056    0.001 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:4653(_detect_by_surname)
  7391040    0.588    0.000    1.029    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:2654(<genexpr>)
 11902346    0.999    0.000    0.999    0.000 {method 'startswith' of 'str' objects}
    18899    0.036    0.000    0.968    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     7012    0.508    0.000    0.968    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/manager_optimized.py:2503(is_given_name)
      814    0.003    0.000    0.952    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
  5230054    0.939    0.000    0.939    0.000 {method 'search' of 're.Pattern' objects}
    18896    0.005    0.000    0.894    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
    18896    0.049    0.000    0.889    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
   109333    0.235    0.000    0.814    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.763    0.763 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/hybrid_region_manager.py:1(<module>)
        1    0.000    0.000    0.755    0.755 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/hybrid_classifier.py:1(<module>)
        1    0.000    0.000    0.734    0.734 <frozen importlib._bootstrap_external>:1207(_cache_bytecode)
        1    0.000    0.000    0.734    0.734 <frozen importlib._bootstrap_external>:1212(set_data)
        1    0.000    0.000    0.734    0.734 <frozen importlib._bootstrap_external>:195(_write_atomic)
        1    0.733    0.733    0.733    0.733 {built-in method posix.replace}
        1    0.575    0.575    0.575    0.575 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/analytics/duckdb_analytics.py:38(load_entries)
   107/41    0.000    0.000    0.571    0.014 {built-in method builtins.__import__}
     2000    0.003    0.000    0.495    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/security_validator.py:256(validate_entry)
     8000    0.101    0.000    0.491    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/security_validator.py:297(validate_string)
        1    0.002    0.002    0.421    0.421 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline_v7.py:925(_stage_3_region_hooks)
      981    0.002    0.000    0.418    0.000 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/regions/base.py:707(process)
10935606/10929500    0.406    0.000    0.406    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.378    0.378 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/__init__.py:1(<module>)
        1    0.000    0.000    0.351    0.351 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/core/pipeline.py:1(<module>)
   127858    0.248    0.000    0.320    0.000 {built-in method posix.stat}
  3938785    0.298    0.000    0.298    0.000 {method 'get' of 'dict' objects}
   547603    0.165    0.000    0.288    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.256    0.256 /Users/dylanpossamai/Library/CloudStorage/Dropbox/Work/Maths/gmnap/.claude/worktrees/hungry-babbage/src/validation/schema.py:1(<module>)


