# hangul,rr,tag
# Common name syllables with variations
훈,hun,
훈,hoon,
현,hyun,
현,hyeon,
형,hyung,
형,hyeong,
대,dae,
재,jae,
채,chae,
성,sung,
성,seong,
철,chul,
철,cheol,
준,joon,
준,jun,
중,jung,
중,joong,
영,young,
영,yeong,
수,su,
수,soo,
우,u,
우,woo,
민,min,
호,ho,
환,hwan,
관,kwan,
관,gwan,
원,won,
원,weon,
연,yeon,
연,yon,
진,jin,
진,chin,
# Ready-made surname variants (step 5)
박,park,SURNAME_0
박,bak,
박,pak,
이,lee,SURNAME_0
이,yii,
이,i,
최,choi,SURNAME_0
최,choe,
정,jung,SURNAME_0
정,jeong,
전,jeon,SURNAME_0
전,chun,
임,yim,SURNAME_0
임,im,
임,lim,
오,oh,SURNAME_0
오,o,
윤,yoon,SURNAME_0
윤,yun,
문,moon,SURNAME_0
문,mun,
남,nam,SURNAME_0
남,lam,
심,shim,SURNAME_0
심,sim,
