ethiopic,scientific,practical,common_name
ሀ,ha,h,h
ለ,la,l,l
ሐ,ḥa,h,h
መ,ma,m,m
ሠ,śa,s,s
ረ,ra,r,r
ሰ,sa,s,s
ሸ,ša,sh,sh
ቀ,qa,q,q
ቐ,q̈a,q,q
በ,ba,b,b
ተ,ta,t,t
ቸ,ča,ch,ch
ኀ,ḫa,h,h
ነ,na,n,n
ኘ,ña,ny,ny
አ,ʾa,,a
ከ,ka,k,k
ኸ,ḫa,kh,kh
ወ,wa,w,w
ዐ,ʿa,,a
ዘ,za,z,z
ዠ,ža,zh,zh
የ,ya,y,y
ደ,da,d,d
ጀ,ǧa,j,j
ገ,ga,g,g
ጠ,ṭa,t,t
ጨ,č̣a,ch,ch
ጰ,p̣a,p,p
ጸ,ṣa,ts,ts
ፀ,ṣ́a,ts,ts
ፈ,fa,f,f
ፐ,pa,p,p
ገብረ,gebre,gebre,Gebre
ተክለ,tekle,tekle,Tekle
ኃይለ,hayle,haile,Haile
ወልድ,wald,walda,Weldu
መርያም,mariyam,mariam,Mariam
ሚካኤል,mikaʾel,michael,Michael
ዮሃንስ,yohannas,yohannes,Yohannes
ሠላሴ,śellase,selassie,Selassie
በረከት,barakat,bereket,Bereket
